用户id,注册时间,性别,年龄,学历,所属省份,所属地市,下载渠道,游戏职业,游戏等级,最近一次登录时间
C35558,2018/7/3,男,31,高中/中专,江苏省,盐城市,oppo应用商店,剑士,青铜,2018/7/18
C35608,2019/1/25,男,24,大专,陕西省,西安市,小米应用商店,法师,青铜,2019/3/8
C23219,2017#12#29,女,16,大专,河北省,唐山市,华为应用商店,法师,青铜,2018/10/8
C32890,2019/6/28,男,28,初中及以下,江苏省,徐州市,应用宝,法师,青铜,2019/7/25
C21550,2019/1/16,女,31,硕士,江苏省,南通市,应用宝,法师,青铜,2019/2/22
C36511,2018/10/29,女,35,本科,湖南省,衡阳市,vivo应用商店,剑士,青铜,2019/2/1
C28887,2017#10#1,女,24,高中/中专,重庆市,重庆市,应用宝,刺客,青铜,2017/12/26
C30903,2018/9/13,女,24,大专,重庆市,重庆市,华为应用商店,法师,青铜,2019/6/14
C36683,2018/5/2,男,39,本科,浙江省,宁波市,oppo应用商店,法师,白银,2019/1/24
C50081,2018/12/5,男,28,博士及以上,河北省,沧州市,oppo应用商店,法师,青铜,2019/2/2
C39158,2018/1/14,男,18,大专,江苏省,常州市,小米应用商店,法师,青铜,2018/1/14
D26187,2018/2/16,男,21,大专,福建省,福州市,小米应用商店,剑士,白银,2018/10/13
D37392,2019/4/12,男,21,大专,江苏省,南京市,vivo应用商店,法师,青铜,2019/4/20
D25707,2017#10#27,男,26,本科,江苏省,盐城市,应用宝,刺客,青铜,2018/2/12
D49764,2018/12/10,男,23,大专,湖北省,武汉市,华为应用商店,法师,青铜,2019/11/14
D32256,2017#12#2,男,17,高中/中专,福建省,漳州市,APP Store,剑士,青铜,2019/8/3
D46001,2017#10#22,男,16,初中及以下,上海市,上海市,华为应用商店,刺客,青铜,2018/5/8
D33908,2018/12/10,男,14,初中及以下,浙江省,金华市,小米应用商店,法师,青铜,2019/3/21
D48777,2017#11#29,男,31,本科,广东省,广州市,华为应用商店,剑士,青铜,2018/3/1
D36214,2018/2/10,男,35,初中及以下,重庆市,重庆市,应用宝,刺客,青铜,2018/11/16
D39293,2018/9/12,男,19,大专,重庆市,重庆市,华为应用商店,法师,白银,2019/5/16
D37609,2019/6/18,女,29,大专,河北省,秦皇岛市,应用宝,法师,青铜,2019/9/2
D25190,2018/4/20,男,25,初中及以下,天津市,天津市,应用宝,剑士,白银,2018/5/4
D31885,2018/3/7,男,16,大专,福建省,福州市,应用宝,刺客,青铜,2019/11/30
D34335,2019/2/10,男,26,大专,上海市,上海市,小米应用商店,法师,青铜,2019/5/12
D27065,2017#9#30,男,17,大专,广东省,中山市,oppo应用商店,法师,青铜,2018/12/19
D51548,2019/1/17,女,22,大专,福建省,三明市,oppo应用商店,剑士,青铜,2019/10/20
D28229,2018/3/22,女,25,初中及以下,江西省,赣州市,小米应用商店,法师,黄金,2019/1/4
D48309,2017#11#9,女,16,初中及以下,广东省,东莞市,小米应用商店,法师,青铜,2019/7/27
D43207,2018/12/6,男,27,大专,河北省,唐山市,应用宝,剑士,青铜,2019/5/21
D33362,2018/7/18,女,23,高中/中专,河南省,南阳市,vivo应用商店,法师,青铜,2018/9/14
D40628,2019/3/1,男,29,高中/中专,江苏省,连云港市,APP Store,法师,青铜,2019/4/22
D38290,2018/7/15,女,25,高中/中专,吉林省,延边朝鲜族自治州,华为应用商店,剑士,青铜,2018/10/4
D39637,2018/7/21,女,30,大专,广西壮族自治区,桂林市,oppo应用商店,刺客,青铜,2019/8/9
D34585,2017#11#29,男,26,大专,陕西省,西安市,vivo应用商店,刺客,青铜,2018/5/21
D43877,2018/8/26,男,29,本科,贵州省,黔东南州,vivo应用商店,刺客,青铜,2019/3/5
D33319,2019/1/17,男,17,初中及以下,重庆市,重庆市,华为应用商店,法师,青铜,2019/2/22
D26272,2017#10#10,男,27,高中/中专,安徽省,六安市,APP Store,剑士,青铜,2018/8/31
D47472,2019/1/31,女,19,大专,湖南省,株洲市,oppo应用商店,法师,青铜,2019/3/14
D52068,2017#9#1,女,28,大专,河南省,南阳市,华为应用商店,刺客,青铜,2019/3/1
D47591,2017#10#17,男,35,本科,浙江省,杭州市,APP Store,刺客,青铜,2018/10/16
D39189,2017#10#21,男,23,本科,山东省,济宁市,华为应用商店,刺客,青铜,2017/11/16
D40886,2018/9/2,男,27,高中/中专,黑龙江省,鹤岗市,APP Store,刺客,青铜,2019/3/20
D36919,2017#10#30,男,26,高中/中专,广西壮族自治区,南宁市,应用宝,刺客,青铜,2019/7/19
D29112,2019/2/9,男,29,大专,河南省,漯河市,APP Store,法师,青铜,2019/3/4
D34877,2017#8#4,男,18,高中/中专,湖北省,武汉市,华为应用商店,刺客,青铜,2018/6/1
D31417,2018/10/15,男,27,硕士,山东省,潍坊市,应用宝,剑士,青铜,2019/10/22
D42828,2017#9#18,男,16,大专,江苏省,南通市,华为应用商店,法师,黄金,2019/1/13
D22998,2017#9#1,男,25,大专,江苏省,扬州市,vivo应用商店,法师,白银,2019/2/27
D47035,2018/6/2,女,32,博士及以上,河南省,商丘市,APP Store,刺客,青铜,2018/8/1
D26271,2017#7#29,男,13,初中及以下,陕西省,西安市,华为应用商店,剑士,青铜,2019/5/2
D26281,2017#9#24,男,18,高中/中专,重庆市,重庆市,华为应用商店,刺客,青铜,2018/8/31
D32039,2017#11#3,男,27,大专,山东省,烟台市,华为应用商店,剑士,青铜,2019/9/27
D21783,2017#9#27,男,25,高中/中专,上海市,上海市,华为应用商店,法师,青铜,2018/4/10
D45775,2017#11#30,男,39,高中/中专,甘肃省,酒泉市,应用宝,法师,青铜,2017/12/30
D31990,2018/11/1,男,21,本科,江苏省,扬州市,vivo应用商店,刺客,青铜,2019/2/4
D38565,2019/5/7,男,15,初中及以下,浙江省,绍兴市,华为应用商店,法师,青铜,2019/8/7
D47601,2017#8#4,男,18,初中及以下,四川省,绵阳市,vivo应用商店,剑士,青铜,2017/8/22
D50301,2017#7#29,男,33,大专,江苏省,泰州市,华为应用商店,法师,青铜,2018/2/19
D23196,2018/9/14,男,27,大专,河北省,唐山市,oppo应用商店,法师,青铜,2019/8/29
D22556,2019/5/6,男,22,高中/中专,上海市,上海市,APP Store,剑士,白银,2019/6/17
D43657,2018/3/3,男,30,本科,江苏省,无锡市,应用宝,剑士,白银,2018/8/19
D23965,2017#11#29,男,19,大专,江西省,赣州市,应用宝,法师,青铜,2017/12/27
D43755,2018/4/20,男,21,大专,江苏省,南京市,APP Store,法师,青铜,2019/8/3
D25843,2018/9/12,男,13,初中及以下,江苏省,南京市,APP Store,剑士,青铜,2018/10/1
D28191,2018/11/8,男,16,高中/中专,安徽省,亳州市,小米应用商店,法师,青铜,2019/2/20
D26893,2018/8/15,女,25,本科,湖南省,长沙市,华为应用商店,剑士,青铜,2019/2/6
D49519,2017#7#8,男,24,初中及以下,重庆市,重庆市,华为应用商店,剑士,白银,2019/1/3
D22839,2018/6/30,男,39,硕士,广东省,深圳市,APP Store,剑士,青铜,2019/10/2
D35330,2019/1/19,男,14,初中及以下,广西壮族自治区,南宁市,APP Store,法师,青铜,2019/4/16
D25275,2017#11#1,男,22,本科,青海省,西宁市,APP Store,剑士,青铜,2019/1/21
D31203,2017#7#11,男,33,大专,上海市,上海市,应用宝,法师,白银,2017/9/21
D43913,2018/10/24,男,19,大专,湖南省,岳阳市,vivo应用商店,剑士,青铜,2018/12/5
D37141,2017#9#1,男,33,本科,山东省,青岛市,华为应用商店,法师,青铜,2018/1/27
D32383,2017#12#2,男,22,大专,云南省,大理白族自治州,vivo应用商店,法师,黄金,2018/12/6
D37448,2018/8/20,男,33,本科,浙江省,金华市,vivo应用商店,刺客,青铜,2018/10/13
D44659,2017#9#29,女,30,大专,广东省,韶关市,oppo应用商店,刺客,青铜,2019/1/1
D38770,2019/3/26,女,25,大专,浙江省,宁波市,小米应用商店,刺客,青铜,2019/6/9
D21982,2019/2/10,男,33,本科,福建省,福州市,oppo应用商店,刺客,白银,2019/2/17
D27702,2017#8#8,女,15,初中及以下,福建省,福州市,vivo应用商店,剑士,青铜,2018/2/10
D43912,2018/6/27,男,20,本科,广东省,汕头市,华为应用商店,刺客,青铜,2018/9/19
D29182,2018/2/19,女,20,硕士,安徽省,合肥市,小米应用商店,刺客,青铜,2018/7/6
D32961,2017#9#23,男,18,高中/中专,浙江省,杭州市,应用宝,法师,青铜,2019/2/20
D22939,2017#10#18,男,27,大专,上海市,上海市,华为应用商店,剑士,白银,2018/3/1
D38499,2018/9/12,男,14,初中及以下,山东省,青岛市,华为应用商店,法师,青铜,2019/6/23
D33827,2019/5/6,女,38,高中/中专,福建省,福州市,APP Store,法师,青铜,2019/5/23
D48238,2018/8/19,女,28,大专,浙江省,宁波市,应用宝,剑士,青铜,2019/9/23
D45734,2019/2/9,男,18,高中/中专,广东省,广州市,小米应用商店,法师,青铜,2019/4/14
D28287,2017#12#2,男,24,高中/中专,黑龙江省,大庆市,oppo应用商店,刺客,白银,2019/8/11
D34310,2018/1/1,女,15,初中及以下,上海市,上海市,华为应用商店,法师,青铜,2019/7/20
D38035,2017#8#23,男,13,初中及以下,河南省,南阳市,应用宝,法师,青铜,2018/9/24
D25412,2018/9/15,男,26,大专,江苏省,扬州市,应用宝,刺客,青铜,2018/11/14
D41207,2019/1/17,女,25,大专,江苏省,泰州市,应用宝,法师,青铜,2019/1/10
D27089,2017#11#16,男,14,初中及以下,广东省,广州市,oppo应用商店,法师,青铜,2019/5/23
D42491,2017#7#26,男,35,大专,江西省,新余市,vivo应用商店,刺客,青铜,2017/10/6
D46301,2018/10/15,男,37,本科,广西壮族自治区,柳州市,华为应用商店,剑士,青铜,2019/11/23
D25258,2018/9/2,男,18,大专,上海市,上海市,华为应用商店,剑士,青铜,2019/2/28
D27585,2018/8/19,男,13,初中及以下,陕西省,西安市,华为应用商店,剑士,青铜,2019/7/10
D22026,2018/8/19,男,39,高中/中专,山东省,青岛市,vivo应用商店,刺客,青铜,2019/5/26
D22207,2018/9/11,男,14,初中及以下,江苏省,南通市,华为应用商店,剑士,青铜,2018/12/20
D46480,2017#11#30,男,32,初中及以下,江苏省,南通市,小米应用商店,法师,青铜,2019/11/13
D24374,2017#9#11,男,23,本科,安徽省,合肥市,vivo应用商店,法师,青铜,2019/3/9
D29330,2019/2/3,男,30,高中/中专,河北省,廊坊市,小米应用商店,法师,青铜,2019/2/7
D42855,2019/2/3,男,30,高中/中专,江苏省,常州市,小米应用商店,剑士,青铜,2019/2/12
D51783,2017#12#23,女,28,本科,四川省,绵阳市,oppo应用商店,刺客,青铜,2018/7/9
D38774,2018/2/19,男,18,高中/中专,上海市,上海市,应用宝,刺客,黄金,2018/11/11
D25897,2019/4/12,男,13,初中及以下,浙江省,台州市,oppo应用商店,法师,星耀,2019/6/13
D42910,2018/8/22,男,41,大专,云南省,昆明市,vivo应用商店,法师,青铜,2019/6/7
D29394,2018/4/17,女,32,大专,江苏省,常州市,小米应用商店,法师,青铜,2019/4/16
D37326,2019/2/6,女,25,高中/中专,北京市,北京市,其他,刺客,青铜,2019/5/17
D42000,2019/2/3,男,25,大专,广东省,湛江市,oppo应用商店,刺客,青铜,2019/4/9
D32839,2019/4/8,女,26,初中及以下,山东省,潍坊市,应用宝,法师,青铜,2019/6/14
D38903,2018/11/3,女,42,大专,浙江省,杭州市,华为应用商店,法师,青铜,2019/4/30
D35888,2018/1/16,女,17,高中/中专,广西壮族自治区,防城港市,华为应用商店,法师,白银,2018/11/16
D36916,2019/6/6,女,26,大专,湖北省,武汉市,应用宝,法师,青铜,2019/6/7
D40255,2019/4/30,男,21,大专,广东省,深圳市,oppo应用商店,法师,青铜,2019/7/3
D27026,2018/1/8,男,26,高中/中专,广东省,云浮市,APP Store,法师,白银,2018/6/27
D39848,2017#12#29,男,25,大专,四川省,成都市,华为应用商店,剑士,青铜,2018/1/17
D38016,2019/4/18,男,18,高中/中专,四川省,成都市,华为应用商店,刺客,青铜,2019/6/30
D38332,2017#11#24,男,14,初中及以下,北京市,北京市,APP Store,法师,黄金,2019/2/21
D49728,2019/1/25,女,24,大专,江苏省,常州市,vivo应用商店,刺客,青铜,2019/2/3
D43794,2017#12#21,男,18,高中/中专,广东省,汕头市,华为应用商店,法师,青铜,2018/3/22
D35457,2019/5/10,女,34,大专,江西省,上饶市,APP Store,法师,白银,2019/7/30
D37661,2017#10#1,女,23,大专,重庆市,重庆市,应用宝,法师,青铜,2019/11/30
D44340,2018/8/19,女,25,大专,广东省,佛山市,华为应用商店,刺客,青铜,2018/10/27
D44285,2017#9#27,男,29,本科,广东省,广州市,oppo应用商店,刺客,青铜,2017/12/26
D29736,2017#8#17,男,15,初中及以下,宁夏回族自治区,银川市,应用宝,剑士,青铜,2017/12/29
D22284,2018/11/5,男,28,硕士,甘肃省,甘南藏族自治州,华为应用商店,法师,青铜,2019/8/19
D49295,2017#7#19,男,19,大专,新疆维吾尔自治区,阿克苏地区,vivo应用商店,法师,青铜,2019/2/22
D21634,2018/9/27,男,24,大专,黑龙江省,大庆市,应用宝,剑士,白银,2019/1/12
D42047,2017#10#13,男,20,高中/中专,宁夏回族自治区,固原市,华为应用商店,法师,青铜,2018/3/24
D33682,2017#12#24,女,18,高中/中专,江西省,鹰潭市,华为应用商店,刺客,青铜,2019/1/28
D28757,2017#7#12,女,37,本科,天津市,天津市,应用宝,剑士,青铜,2019/8/7
D26429,2017#11#30,男,23,大专,吉林省,长春市,应用宝,法师,青铜,2019/8/15
D37346,2017#12#24,女,27,本科,贵州省,遵义市,vivo应用商店,法师,青铜,2018/9/25
D43131,2017#9#23,男,27,高中/中专,辽宁省,沈阳市,应用宝,法师,白银,2018/6/4
D50042,2019/5/6,男,18,大专,河北省,邢台市,小米应用商店,法师,白银,2019/7/1
D24027,2017#11#24,女,17,高中/中专,陕西省,西安市,应用宝,法师,青铜,2019/8/21
D28072,2017#10#4,男,24,大专,广东省,江门市,其他,法师,青铜,2019/4/11
D29099,2017#7#26,女,24,高中/中专,广东省,深圳市,小米应用商店,剑士,白银,2018/11/25
D34591,2018/9/20,男,20,本科,云南省,文山壮族苗族自治州,vivo应用商店,法师,星耀,2019/8/27
D44756,2018/9/6,男,29,大专,江苏省,苏州市,APP Store,剑士,青铜,2019/1/24
D31652,2018/1/17,男,20,本科,浙江省,杭州市,华为应用商店,法师,青铜,2018/9/20
D31709,2018/8/15,女,15,初中及以下,广东省,江门市,APP Store,法师,青铜,2019/2/2
D51619,2019/4/30,男,25,初中及以下,安徽省,阜阳市,APP Store,刺客,青铜,2019/7/5
D41622,2018/7/17,男,37,大专,山东省,泰安市,小米应用商店,剑士,青铜,2019/1/12
D35754,2017#9#24,女,17,大专,河北省,唐山市,vivo应用商店,剑士,白银,2017/11/4
D28642,2018/3/23,女,27,高中/中专,黑龙江省,哈尔滨市,oppo应用商店,法师,青铜,2018/4/2
D22441,2017#8#4,男,20,本科,广东省,揭阳市,APP Store,法师,青铜,2019/5/21
D42997,2018/1/29,男,18,高中/中专,广东省,茂名市,vivo应用商店,剑士,青铜,2019/3/5
D50448,2019/6/28,男,27,大专,浙江省,台州市,其他,法师,青铜,2019/8/5
D40107,2018/5/14,女,29,本科,浙江省,宁波市,华为应用商店,剑士,青铜,2018/11/29
D48626,2017#11#1,男,14,初中及以下,山东省,济南市,华为应用商店,法师,青铜,2019/7/4
D45231,2018/5/24,男,15,初中及以下,浙江省,杭州市,应用宝,剑士,青铜,2018/5/25
D42404,2018/9/15,女,42,大专,云南省,昆明市,华为应用商店,刺客,青铜,2019/11/4
D35762,2017#9#14,男,13,初中及以下,广东省,深圳市,应用宝,法师,青铜,2017/10/1
D45353,2017#9#27,女,24,大专,江苏省,无锡市,华为应用商店,法师,青铜,2019/6/9
D28322,2018/10/29,男,21,大专,湖南省,衡阳市,oppo应用商店,法师,青铜,2019/7/14
D41155,2017#11#7,女,25,本科,江苏省,盐城市,vivo应用商店,刺客,白银,2017/11/25
D46756,2017#8#4,男,26,本科,四川省,成都市,华为应用商店,法师,青铜,2019/3/29
D24686,2017#12#25,男,31,本科,江西省,南昌市,华为应用商店,法师,青铜,2019/6/27
D30761,2017#11#16,男,21,本科,浙江省,台州市,华为应用商店,剑士,青铜,2019/7/4
D42799,2017#12#22,男,30,本科,四川省,绵阳市,APP Store,法师,青铜,2018/6/17
D44818,2017#9#22,男,23,初中及以下,宁夏回族自治区,银川市,APP Store,法师,青铜,2017/9/30
D42312,2018/11/9,女,19,大专,广东省,深圳市,小米应用商店,法师,青铜,2019/7/15
D32782,2017#9#18,女,17,大专,江苏省,南通市,应用宝,法师,青铜,2018/2/24
D41319,2018/6/27,女,22,本科,江西省,宜春市,APP Store,剑士,青铜,2018/10/8
D21372,2018/2/19,女,13,初中及以下,广东省,广州市,APP Store,刺客,青铜,2018/10/27
D41586,2019/6/9,男,25,大专,福建省,厦门市,华为应用商店,法师,白银,2019/9/1
D26452,2017#11#30,男,22,初中及以下,江苏省,泰州市,小米应用商店,刺客,白银,2018/4/27
D21465,2018/7/2,男,21,本科,福建省,福州市,oppo应用商店,法师,青铜,2018/9/1
D22174,2017#7#10,男,24,大专,北京市,北京市,华为应用商店,法师,青铜,2018/11/20
D36679,2019/3/13,男,15,初中及以下,重庆市,重庆市,oppo应用商店,法师,青铜,2019/4/6
D50994,2017#12#23,男,27,硕士,甘肃省,平凉市,APP Store,剑士,白银,2018/7/15
D41636,2017#7#29,男,24,高中/中专,四川省,南充市,vivo应用商店,剑士,青铜,2017/8/21
D34359,2018/6/3,男,23,本科,浙江省,温州市,应用宝,法师,青铜,2018/6/10
D23609,2018/4/11,男,14,初中及以下,广东省,肇庆市,APP Store,法师,青铜,2018/11/10
D43575,2018/11/12,女,41,初中及以下,湖北省,咸宁市,vivo应用商店,刺客,青铜,2019/5/24
D25839,2018/3/8,女,26,高中/中专,北京市,北京市,华为应用商店,剑士,青铜,2018/12/10
D44097,2017#7#13,男,28,本科,江苏省,无锡市,oppo应用商店,法师,青铜,2018/11/24
D25496,2017#10#6,男,23,大专,河北省,唐山市,应用宝,刺客,白银,2017/11/12
D28821,2018/5/15,男,14,初中及以下,江西省,宜春市,小米应用商店,剑士,青铜,2019/3/18
D31928,2017#7#17,男,24,高中/中专,江苏省,南京市,oppo应用商店,法师,青铜,2018/9/16
D49050,2018/8/26,女,32,本科,江苏省,泰州市,小米应用商店,刺客,白银,2019/3/12
D51527,2018/5/1,男,29,本科,河北省,邯郸市,vivo应用商店,法师,青铜,2018/12/5
D30140,2018/7/17,男,21,本科,山西省,吕梁市,APP Store,法师,黄金,2019/6/30
D35129,2018/5/12,男,21,大专,河南省,郑州市,APP Store,法师,白银,2018/8/3
D26428,2017#7#29,女,21,高中/中专,北京市,北京市,小米应用商店,刺客,青铜,2019/4/28
D51847,2019/5/7,男,20,本科,内蒙古自治区,呼伦贝尔市,小米应用商店,剑士,青铜,2019/6/20
D40443,2019/3/8,男,17,大专,江西省,宜春市,华为应用商店,剑士,白银,2019/5/14
D35940,2018/8/4,男,22,大专,重庆市,重庆市,应用宝,法师,白银,2019/5/4
D52696,2017#10#5,女,17,高中/中专,福建省,厦门市,oppo应用商店,刺客,青铜,2019/5/29
D27211,2017#8#4,男,21,硕士,北京市,北京市,vivo应用商店,法师,黄金,2017/10/5
D21525,2019/6/25,女,15,初中及以下,陕西省,渭南市,APP Store,法师,青铜,2019/7/11
D34375,2017#12#24,男,19,大专,福建省,福州市,应用宝,法师,青铜,2019/5/1
D42690,2018/5/14,男,40,高中/中专,安徽省,合肥市,小米应用商店,法师,青铜,2019/3/15
D32788,2019/4/22,男,16,初中及以下,北京市,北京市,华为应用商店,法师,青铜,2019/5/12
